url,name,price,series,marca,usos,pantalla,sistema_operativo,entrada_interfaz,fabricante_cpu
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg1_1?ie=UTF8&adId=A0935056O6S4M6SG6TIH&url=%2FOrdenador-port%25C3%25A1til-procesador-Bluetooth-Ampliable%2Fdp%2FB089FXZNT3%2Fref%3Dsr_1_1_sspa%3Fqid%3D1636389949%26s%3Dcomputers%26sr%3D1-1-spons%26psc%3D1&qualifier=1636389949&id=8078146076624256&widgetName=sp_atf_browse,"Jumper Ordenador portátil de 13,3 Pulgadas Full HD, 8GB+128GB Ordenador portátil, Intel Cuatro núcleos procesador Laptop, Windows 10 PC, Bluetooth 4.2, Doble Banda WLAN, Memoria Ampliable","329,99€",EZbook X3 8128,JUMPER,Personal,13.3 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg1_1?ie=UTF8&adId=A09214592YROM0UQ3XCQG&url=%2FKUU-Ordenador-desbloqueo-Dactilares-retroiluminado%2Fdp%2FB0969WN21P%2Fref%3Dsr_1_2_sspa%3Fqid%3D1636389949%26s%3Dcomputers%26sr%3D1-2-spons%26psc%3D1&qualifier=1636389949&id=8078146076624256&widgetName=sp_atf_browse,"KUU Ordenador Portátil G3Pro 15.6'', Notebook AMD Ryzen 7 4800H Processor up to 4.2GHz, 16GB RAM DDR4 512GB SSD, Windows 10 Laptop con desbloqueo de Huellas Dactilares y Teclado retroiluminado, Type C","689,99€",,KUU,,15.6 Pulgadas,Windows 10,Teclado,AMD
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg1_1?ie=UTF8&adId=A00891921S4LQX1C2GZM&url=%2FCHUWI-CoreBook-Ordenador-Portatil-Ultrabook%2Fdp%2FB08SK63434%2Fref%3Dsr_1_3_sspa%3Fqid%3D1636389949%26s%3Dcomputers%26smid%3DAS9E0MT5ZN0A0%26sr%3D1-3-spons%26psc%3D1&qualifier=1636389949&id=8078146076624256&widgetName=sp_atf_browse,"CHUWI CoreBook X Ordenador Portatil Ultrabook 14 Pulgadas Laptop Windows 10 Intel Core i5-8259U MAX hasta 3,8 GHz 8GB RAM+512GB SSD 2160*1440 Wi-Fi BT4.2 Type-C PD2.0 46.2Wh","492,15€",CoreBook X,CHUWI,Gaming,14 Pulgadas,Windows 10 Home,"Teclado, Botones",Intel
https://www.amazon.es/Apple-MacBook-Air-Chip-13-Pulgadas/dp/B08N5VXMK6/ref=ice_ac_b_dpb?qid=1636389949&s=computers&sr=1-4,"2020 Apple MacBook Air con Chip M1 de Apple (de&nbsp;13&nbsp;Pulgadas, 8&nbsp;GB RAM, 256 GB SSD) - Gris Espacial","977,99€",,Apple,Multimedia,13 Pulgadas,MacOS Big Sur,,Apple
https://www.amazon.es/HP-240-G8-Ordenador-port%C3%A1til/dp/B08XKYRXM4/ref=sr_1_5?qid=1636389949&s=computers&sr=1-5,"HP 240 G8 - Ordenador portátil de 14” HD (Intel Celeron N4020, 8GB RAM, 128GB SSD, Windows 10 Home) Negro - Teclado QWERTY Español","339,95€",240 G8,HP,"Empresa, Personal",14 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/CHUWI-HeroBook-Ordenador-Port%C3%A1til-Ultrabook/dp/B083B8L7Q9/ref=sr_1_6?qid=1636389949&s=computers&sr=1-6,"CHUWI HeroBook Pro Ordenador Portátil Ultrabook Laptop 14.1' Intel Celeron N4020 hasta 2.8 GHz, 4K 1920*1080, Windows 10, 8G RAM 256G SSD, WiFi, USB 3.0, 38Wh","339,00€",HeroBook pro,CHUWI,,14.1 Pulgadas,Windows 10,"Teclado, Botones",Intel
https://www.amazon.es/Lenovo-IdeaPad-Ordenador-Port%C3%A1til-i3-1115G4/dp/B08TPDN659/ref=sr_1_7?qid=1636389949&s=computers&sr=1-7,"Lenovo IdeaPad 3 - Ordenador Portátil 14"" FullHD (Intel Core i3-1115G4, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 10 Home), Color Gris - Teclado QWERTY Español","499,99€",IdeaPad 3 14ITL6,Lenovo,Personal,14 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/HP-15s-fq2037ns-Ordenador-port%C3%A1til-i3-1115G4/dp/B08PFKLQN4/ref=sr_1_8?qid=1636389949&s=computers&sr=1-8,"HP 15s-fq2037ns - Ordenador portátil de 15.6"" FullHD (Intel Core i3-1115G4, 8GB de RAM, 256GB SSD, Intel UHD Graphics, Windows 10) Plata - teclado QWERTY Español","499,99€",15s-fq2037ns,HP,Personal,15.59 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/HUAWEI-MateBook-13-Ordenador-port%C3%A1til/dp/B094H63DFF/ref=sr_1_9?qid=1636389949&s=computers&sr=1-9,"HUAWEI MateBook 13 - Ordenador portátil con pantalla de 13'' 2K (AMD Ryzen 7 3700U, 16GB RAM, 512GB SSD, Windows 10 Home), Color Gris - Teclado QWERTY Español","749,00€",Matebook 13,HUAWEI,,13 Pulgadas,Windows 10 Home,Teclado,AMD
https://www.amazon.es/Apple-MacBook-Pro-Chip-13-Pulgadas/dp/B08N5WRTN2/ref=sr_1_10?qid=1636389949&s=computers&sr=1-10,"2020 Apple MacBook Pro con Chip M1 de Apple (de&nbsp;13&nbsp;Pulgadas, 8&nbsp;GB RAM, 256 GB SSD) - Gris Espacial","1.254,00€",MacBook Pro,Apple,Multimedia,13 Pulgadas,MacOS Big Sur,,Apple
